activity	subject	featureName	mean
LAYING	1	fBodyAcc-mean()-X	-0.511344228120242
LAYING	1	fBodyAcc-mean()-Y	-0.511344228120242
LAYING	1	fBodyAcc-mean()-Z	-0.511344228120242
LAYING	1	fBodyAcc-std()-X	-0.511344228120242
LAYING	1	fBodyAcc-std()-Y	-0.511344228120242
LAYING	1	fBodyAcc-std()-Z	-0.511344228120242
LAYING	1	fBodyAccJerk-mean()-X	-0.511344228120242
LAYING	1	fBodyAccJerk-mean()-Y	-0.511344228120242
LAYING	1	fBodyAccJerk-mean()-Z	-0.511344228120242
LAYING	1	fBodyAccJerk-std()-X	-0.511344228120242
LAYING	1	fBodyAccJerk-std()-Y	-0.511344228120242
LAYING	1	fBodyAccJerk-std()-Z	-0.511344228120242
LAYING	1	fBodyAccMag-mean()	-0.511344228120242
LAYING	1	fBodyAccMag-std()	-0.511344228120242
LAYING	1	fBodyBodyAccJerkMag-mean()	-0.511344228120242
LAYING	1	fBodyBodyAccJerkMag-std()	-0.511344228120242
LAYING	1	fBodyBodyGyroJerkMag-mean()	-0.511344228120242
LAYING	1	fBodyBodyGyroJerkMag-std()	-0.511344228120242
LAYING	1	fBodyBodyGyroMag-mean()	-0.511344228120242
LAYING	1	fBodyBodyGyroMag-std()	-0.511344228120242
LAYING	1	fBodyGyro-mean()-X	-0.511344228120242
LAYING	1	fBodyGyro-mean()-Y	-0.511344228120242
LAYING	1	fBodyGyro-mean()-Z	-0.511344228120242
LAYING	1	fBodyGyro-std()-X	-0.511344228120242
LAYING	1	fBodyGyro-std()-Y	-0.511344228120242
LAYING	1	fBodyGyro-std()-Z	-0.511344228120242
LAYING	1	tBodyAcc-mean()-X	-0.511344228120242
LAYING	1	tBodyAcc-mean()-Y	-0.511344228120242
LAYING	1	tBodyAcc-mean()-Z	-0.511344228120242
LAYING	1	tBodyAcc-std()-X	-0.511344228120242
LAYING	1	tBodyAcc-std()-Y	-0.511344228120242
LAYING	1	tBodyAcc-std()-Z	-0.511344228120242
LAYING	1	tBodyAccJerk-mean()-X	-0.511344228120242
LAYING	1	tBodyAccJerk-mean()-Y	-0.511344228120242
LAYING	1	tBodyAccJerk-mean()-Z	-0.511344228120242
LAYING	1	tBodyAccJerk-std()-X	-0.511344228120242
LAYING	1	tBodyAccJerk-std()-Y	-0.511344228120242
LAYING	1	tBodyAccJerk-std()-Z	-0.511344228120242
LAYING	1	tBodyAccJerkMag-mean()	-0.511344228120242
LAYING	1	tBodyAccJerkMag-std()	-0.511344228120242
LAYING	1	tBodyAccMag-mean()	-0.511344228120242
LAYING	1	tBodyAccMag-std()	-0.511344228120242
LAYING	1	tBodyGyro-mean()-X	-0.511344228120242
LAYING	1	tBodyGyro-mean()-Y	-0.511344228120242
LAYING	1	tBodyGyro-mean()-Z	-0.511344228120242
LAYING	1	tBodyGyro-std()-X	-0.511344228120242
LAYING	1	tBodyGyro-std()-Y	-0.511344228120242
LAYING	1	tBodyGyro-std()-Z	-0.511344228120242
LAYING	1	tBodyGyroJerk-mean()-X	-0.511344228120242
LAYING	1	tBodyGyroJerk-mean()-Y	-0.511344228120242
LAYING	1	tBodyGyroJerk-mean()-Z	-0.511344228120242
LAYING	1	tBodyGyroJerk-std()-X	-0.511344228120242
LAYING	1	tBodyGyroJerk-std()-Y	-0.511344228120242
LAYING	1	tBodyGyroJerk-std()-Z	-0.511344228120242
LAYING	1	tBodyGyroJerkMag-mean()	-0.511344228120242
LAYING	1	tBodyGyroJerkMag-std()	-0.511344228120242
LAYING	1	tBodyGyroMag-mean()	-0.511344228120242
LAYING	1	tBodyGyroMag-std()	-0.511344228120242
LAYING	1	tGravityAcc-mean()-X	-0.511344228120242
LAYING	1	tGravityAcc-mean()-Y	-0.511344228120242
LAYING	1	tGravityAcc-mean()-Z	-0.511344228120242
LAYING	1	tGravityAcc-std()-X	-0.511344228120242
LAYING	1	tGravityAcc-std()-Y	-0.511344228120242
LAYING	1	tGravityAcc-std()-Z	-0.511344228120242
LAYING	1	tGravityAccMag-mean()	-0.511344228120242
LAYING	1	tGravityAccMag-std()	-0.511344228120242
LAYING	2	fBodyAcc-mean()-X	-0.511344228120242
LAYING	2	fBodyAcc-mean()-Y	-0.511344228120242
LAYING	2	fBodyAcc-mean()-Z	-0.511344228120242
LAYING	2	fBodyAcc-std()-X	-0.511344228120242
LAYING	2	fBodyAcc-std()-Y	-0.511344228120242
LAYING	2	fBodyAcc-std()-Z	-0.511344228120242
LAYING	2	fBodyAccJerk-mean()-X	-0.511344228120242
LAYING	2	fBodyAccJerk-mean()-Y	-0.511344228120242
LAYING	2	fBodyAccJerk-mean()-Z	-0.511344228120242
LAYING	2	fBodyAccJerk-std()-X	-0.511344228120242
LAYING	2	fBodyAccJerk-std()-Y	-0.511344228120242
LAYING	2	fBodyAccJerk-std()-Z	-0.511344228120242
LAYING	2	fBodyAccMag-mean()	-0.511344228120242
LAYING	2	fBodyAccMag-std()	-0.511344228120242
